City ID,Date,Country,City,Lat,Lng,Max Temp,Humidity,Wind Speed,Cloud Cover
322,2020-04-09 13:46:22,ZA,East London,-33.02,27.91,73.4,69,16.11,20
323,2020-04-09 13:48:32,BR,Maceió,-9.67,-35.74,86.0,70,5.82,75
324,2020-04-09 13:49:46,RU,Verkhnetulomskiy,68.61,31.8,24.8,73,8.95,75
325,2020-04-09 13:49:46,CI,Bonoua,5.27,-3.6,87.8,70,9.17,20
326,2020-04-09 13:49:46,MU,Souillac,-20.52,57.52,82.4,74,17.22,75
327,2020-04-09 13:49:46,RU,Abaza,52.66,90.09,39.02,70,3.71,100
328,2020-04-09 13:49:46,CD,Kindu,-2.95,25.95,87.21,53,4.9,81
329,2020-04-09 13:49:46,MX,Mapimí,25.82,-103.85,71.6,37,4.72,75
330,2020-04-09 13:49:46,LR,Monrovia,6.3,-10.8,78.8,83,6.76,75
331,2020-04-09 13:49:46,AU,Broken Hill,-31.95,141.43,60.8,59,3.36,0
332,2020-04-09 13:49:46,RU,Leshukonskoye,64.9,45.76,34.75,87,8.16,90
333,2020-04-09 13:49:46,AU,Bongaree,-27.08,153.16,70.0,94,6.93,75
334,2020-04-09 13:49:47,LY,Tūkrah,32.53,20.58,59.99,55,11.45,10
335,2020-04-09 13:49:47,BR,Iporá,-16.44,-51.12,81.19,59,4.94,78
336,2020-04-09 13:49:47,PT,Vila Franca do Campo,37.72,-25.43,62.6,82,11.41,20
337,2020-04-09 13:49:47,CA,Clyde River,70.47,-68.59,-0.4,91,2.24,1
338,2020-04-09 13:49:47,PG,Namatanai,-3.67,152.43,81.9,75,4.61,81
339,2020-04-09 13:49:47,PG,Vanimo,-2.67,141.3,79.43,84,5.82,44
340,2020-04-09 13:45:20,CA,Prince Rupert,54.32,-130.32,41.0,93,2.24,90
341,2020-04-09 13:49:47,US,Huron,41.15,-82.55,42.01,80,4.7,90
342,2020-04-09 13:49:48,RU,Belyy Yar,53.6,91.39,37.4,55,13.42,40
343,2020-04-09 13:49:48,ES,La Rioja,42.25,-2.5,68.0,60,13.87,82
344,2020-04-09 13:49:48,IN,Tezu,27.92,96.17,75.67,29,3.53,45
